pair_id,pass,latency_ms
e1-q082-hal,2,2.0
e1-q083-gt,2,2.862
e1-q083-hal,2,2.055
e1-q084-gt,2,1.538
e1-q084-hal,2,2.144
e1-q085-gt,2,2.478
e1-q085-hal,2,1.416
e1-q086-gt,2,3.96
e1-q086-hal,2,2.976
e1-q087-gt,2,2.909
e1-q087-hal,2,2.454
e1-q088-gt,2,3.026
e1-q088-hal,2,2.362
e1-q089-gt,2,3.068
e1-q089-hal,2,2.154
e1-q090-gt,2,3.293
e1-q090-hal,2,2.893
e1-q091-gt,2,2.303
e1-q091-hal,2,2.119
e1-q092-gt,2,1.905
e1-q092-hal,2,1.668
e1-q093-gt,2,2.998
e1-q093-hal,2,2.582
e1-q094-gt,2,2.476
e1-q094-hal,2,1.833
e1-q095-gt,2,3.184
e1-q095-hal,2,3.87
e1-q096-gt,2,3.021
e1-q096-hal,2,2.453
e1-q097-gt,2,2.787
e1-q097-hal,2,2.223
e1-q098-gt,2,2.945
e1-q098-hal,2,2.407
e1-q099-gt,2,2.713
e1-q099-hal,2,2.725
e1-q100-gt,2,3.137
e1-q100-hal,2,2.416
e1-q101-gt,2,2.847
e1-q101-hal,2,2.025
e1-q102-gt,2,2.444
e1-q102-hal,2,2.146
e1-q103-gt,2,3.847
e1-q103-hal,2,3.172
e1-q104-gt,2,2.021
e1-q104-hal,2,2.179
e1-q105-gt,2,1.31
e1-q105-hal,2,1.356
e1-q106-gt,2,3.098
e1-q106-hal,2,2.649
e1-q107-gt,2,1.614
e1-q107-hal,2,1.447
e1-q108-gt,2,3.088
e1-q108-hal,2,2.61
e1-q109-gt,2,1.431
e1-q109-hal,2,1.337
e1-q110-gt,2,4.271
e1-q110-hal,2,2.842
e1-q111-gt,2,2.966
e1-q111-hal,2,2.444
e1-q112-gt,2,2.752
e1-q112-hal,2,2.185
e1-q113-gt,2,2.394
e1-q113-hal,2,1.773
e1-q114-gt,2,2.612
e1-q114-hal,2,2.326
e1-q115-gt,2,2.611
e1-q115-hal,2,2.715
e1-q116-gt,2,2.58
e1-q116-hal,2,2.004
e1-q117-gt,2,2.194
e1-q117-hal,2,1.589
e1-q118-gt,2,2.927
e1-q118-hal,2,2.142
e1-q119-gt,2,1.622
e1-q119-hal,2,1.59
e1-q120-gt,2,2.25
e1-q120-hal,2,1.848
e1-q121-gt,2,2.149
e1-q121-hal,2,2.16
e1-q122-gt,2,2.258
e1-q122-hal,2,1.604
e1-q123-gt,2,1.363
e1-q123-hal,2,1.418
e1-q124-gt,2,3.572
e1-q124-hal,2,2.908
