pair_id,pass,latency_ms
e1-q128-gt,2,492.311
e1-q128-hal,2,163.433
e1-q129-gt,2,217.975
e1-q129-hal,2,226.139
e1-q130-gt,2,708.056
e1-q130-hal,2,347.113
e1-q131-gt,2,479.164
e1-q131-hal,2,161.684
e1-q132-gt,2,1283.164
e1-q132-hal,2,426.466
e1-q133-gt,2,353.483
e1-q133-hal,2,362.819
e1-q134-gt,2,171.457
e1-q134-hal,2,142.391
e1-q135-gt,2,183.768
e1-q135-hal,2,167.931
e1-q136-gt,2,397.627
e1-q136-hal,2,212.458
e1-q137-gt,2,654.673
e1-q137-hal,2,339.663
e1-q138-gt,2,216.236
e1-q138-hal,2,239.838
e1-q139-gt,2,203.164
e1-q139-hal,2,204.261
e1-q140-gt,2,782.43
e1-q140-hal,2,580.072
e1-q141-gt,2,514.609
e1-q141-hal,2,261.283
e1-q142-gt,2,1647.503
e1-q142-hal,2,1153.717
e1-q143-gt,2,311.544
e1-q143-hal,2,292.048
e1-q144-gt,2,481.275
e1-q144-hal,2,258.333
e1-q145-gt,2,895.735
e1-q145-hal,2,311.624
e1-q146-gt,2,465.809
e1-q146-hal,2,500.284
e1-q147-gt,2,293.765
e1-q147-hal,2,318.353
e1-q148-gt,2,1067.08
e1-q148-hal,2,745.307
e1-q149-gt,2,596.332
e1-q149-hal,2,304.134
e1-q150-gt,2,233.16
e1-q150-hal,2,232.607
e1-q151-gt,2,542.669
e1-q151-hal,2,577.764
e1-q152-gt,2,225.979
e1-q152-hal,2,107.371
e1-q153-gt,2,662.237
e1-q153-hal,2,426.577
e1-q154-gt,2,448.253
e1-q154-hal,2,147.362
e1-q155-gt,2,1244.739
e1-q155-hal,2,324.377
e1-q156-gt,2,983.69
e1-q156-hal,2,345.095
e1-q157-gt,2,433.447
e1-q157-hal,2,231.113
e1-q158-gt,2,768.925
e1-q158-hal,2,730.786
e1-q159-gt,2,267.877
e1-q159-hal,2,257.803
e1-q160-gt,2,423.363
e1-q160-hal,2,404.325
e1-q161-gt,2,505.583
e1-q161-hal,2,458.305
e1-q162-gt,2,395.879
e1-q162-hal,2,179.972
e1-q163-gt,2,552.796
e1-q163-hal,2,194.455
e1-q164-gt,2,292.911
e1-q164-hal,2,518.204
e1-q165-gt,2,471.588
e1-q165-hal,2,218.089
e1-q166-gt,2,218.704
e1-q166-hal,2,210.7
e1-q167-gt,2,162.559
e1-q167-hal,2,135.681
e1-q168-gt,2,531.665
e1-q168-hal,2,295.771
e1-q169-gt,2,681.108
e1-q169-hal,2,1013.257
e1-q170-gt,2,846.812
e1-q170-hal,2,215.425
e1-q171-gt,2,415.267
e1-q171-hal,2,199.145
e1-q172-gt,2,365.102
